Universitas,Jurusan,Daya Tampung 2021,Peminat 2020,Persentase
UNIVERSITAS TANJUNGPURA,TEKNIK INDUSTRI,35,129,27.13
UNIVERSITAS TANJUNGPURA,KEPERAWATAN,60,252,23.81
UNIVERSITAS TANJUNGPURA,PEND. GURU PEND. ANAK USIA DINI (PGPAUD),28,168,16.67
UNIVERSITAS TANJUNGPURA,STATISTIK,30,166,18.07
UNIVERSITAS TANJUNGPURA,SISTEM INFORMASI,30,248,12.1
UNIVERSITAS TANJUNGPURA,MANAJEMEN SUMBER PERAIRAN,30,0,100.0
UNIVERSITAS TANJUNGPURA,"PEND. BAHASA, SASTRA INDONESIA & DAERAH",25,315,7.94
UNIVERSITAS TANJUNGPURA,ILMU KELAUTAN,30,44,68.18
UNIVERSITAS TANJUNGPURA,TEKNIK ELEKTRO,60,145,41.38
UNIVERSITAS TANJUNGPURA,MATEMATIKA,30,76,39.47
UNIVERSITAS TANJUNGPURA,BIOLOGI,50,102,49.02
UNIVERSITAS TANJUNGPURA,SISTEM KOMPUTER,50,192,26.04
UNIVERSITAS TANJUNGPURA,PEND. BAHASA INGGRIS,50,491,10.18
UNIVERSITAS TANJUNGPURA,ILMU HUBUNGAN INTERNASIONAL,60,396,15.15
UNIVERSITAS TANJUNGPURA,PEND. BIMBINGAN KONSELING,28,156,17.95
UNIVERSITAS TANJUNGPURA,GEOFISIKA,30,29,100.0
UNIVERSITAS TANJUNGPURA,PEND. DOKTER,31,599,5.18
UNIVERSITAS TANJUNGPURA,ILMU SOSIATRI/PEM. MASYARAKAT,60,160,37.5
UNIVERSITAS TANJUNGPURA,TEKNIK INFORMATIKA,35,628,5.57
UNIVERSITAS TANJUNGPURA,PEND. SOSIOLOGI,25,144,17.36
UNIVERSITAS TANJUNGPURA,FISIKA,30,23,100.0
UNIVERSITAS TANJUNGPURA,SOSIAL EKONOMI PERTANIAN (AGRIBISNIS),75,429,17.48
UNIVERSITAS TANJUNGPURA,KEHUTANAN,180,441,40.82
UNIVERSITAS TANJUNGPURA,ILMU KOMUNIKASI,20,482,4.15
UNIVERSITAS TANJUNGPURA,TEKNIK MESIN,20,59,33.9
UNIVERSITAS TANJUNGPURA,TEKNIK KIMIA,20,31,64.52
UNIVERSITAS TANJUNGPURA,TEKNIK KELAUTAN,20,15,100.0
UNIVERSITAS TANJUNGPURA,PEND. SENI TARI DAN MUSIK,23,44,52.27
UNIVERSITAS TANJUNGPURA,TEKNIK LINGKUNGAN,45,139,32.37
UNIVERSITAS TANJUNGPURA,FARMASI,53,685,7.74
UNIVERSITAS TANJUNGPURA,PENDIDIKAN PANCASILA DAN KEWARGANEGARAAN,20,58,34.48
UNIVERSITAS TANJUNGPURA,MANAJEMEN (KELAS INTERNASIONAL),24,156,15.38
UNIVERSITAS TANJUNGPURA,PERENCANAAN WILAYAH KOTA,20,137,14.6
UNIVERSITAS TANJUNGPURA,PEND. BAHASA MANDARIN,18,90,20.0
UNIVERSITAS TANJUNGPURA,ANTROPOLOGI SOSIAL,36,89,40.45
UNIVERSITAS TANJUNGPURA,ILMU PEMERINTAHAN,60,696,8.62
UNIVERSITAS TANJUNGPURA,PENDIDIKAN SEJARAH,20,70,28.57
UNIVERSITAS TANJUNGPURA,TEKNIK PERTAMBANGAN,22,100,22.0
UNIVERSITAS TANJUNGPURA,PENDIDIKAN IPS,20,64,31.25
UNIVERSITAS TANJUNGPURA,PEND. BIOLOGI,38,143,26.57
UNIVERSITAS TANJUNGPURA,EKONOMI PEMBANGUAN,142,419,33.89
UNIVERSITAS TANJUNGPURA,AKUNTANSI (KELAS INTERNASIONAL),24,76,31.58
UNIVERSITAS TANJUNGPURA,PENDIDIKAN GEOGRAFI,20,60,33.33
UNIVERSITAS TANJUNGPURA,AGROTEKNOLOGI,150,305,49.18
UNIVERSITAS TANJUNGPURA,EKONOMI ISLAM,41,193,21.24
UNIVERSITAS TANJUNGPURA,PEND. KIMIA,38,45,84.44
UNIVERSITAS TANJUNGPURA,ILMU HUKUM,239,1117,21.4
UNIVERSITAS TANJUNGPURA,PENDIDIKAN KEPELATIHAN OLAHRAGA,20,19,100.0
UNIVERSITAS TANJUNGPURA,PEND. GURU SEKOLAH DASAR (PGSD),50,1426,3.51
UNIVERSITAS TANJUNGPURA,AKUNTANSI,146,1009,14.47
UNIVERSITAS TANJUNGPURA,MANAJEMEN,144,1446,9.96
UNIVERSITAS TANJUNGPURA,PEND. MATEMATIKA,38,203,18.72
UNIVERSITAS TANJUNGPURA,PEND. FISIKA,38,28,100.0
UNIVERSITAS TANJUNGPURA,"PEND. JASMANI,KESEHATAN & REKREASI",23,48,47.92
UNIVERSITAS TADULAKO,KIMIA,27,45,60.0
UNIVERSITAS TADULAKO,TEKNIK SIPIL (PSDKU TOUNA),50,7,100.0
UNIVERSITAS TADULAKO,PEND. BAHASA INDONESIA,90,253,35.57
UNIVERSITAS TADULAKO,TEKNIK GEOLOGI,45,94,47.87
UNIVERSITAS TADULAKO,BUDIDAYA PERAIRAN,101,22,100.0
UNIVERSITAS TADULAKO,KESEHATAN MASYARAKAT,135,443,30.47
UNIVERSITAS TADULAKO,PERENCANAAN WILAYAH DAN KOTA,45,180,25.0
UNIVERSITAS TADULAKO,PEND. PANCASILA DAN KEWARGANEGARAAN,45,92,48.91
UNIVERSITAS TADULAKO,PEND. SEJARAH,45,87,51.72
UNIVERSITAS TADULAKO,PEND. GEOGRAFI,40,70,57.14
UNIVERSITAS TADULAKO,ILMU KOMUNIKASI,99,476,20.8
UNIVERSITAS TADULAKO,TEKNIK LINGKUNGAN,50,88,56.82
UNIVERSITAS TADULAKO,AGRIBISNIS,144,318,45.28
UNIVERSITAS TADULAKO,PEND. GURU PAUD,40,102,39.22
UNIVERSITAS TADULAKO,PETERNAKAN,146,115,100.0
UNIVERSITAS TADULAKO,EKONOMI AKUNTANSI,88,657,13.39
UNIVERSITAS TADULAKO,AGROTEKNOLOGI,216,232,93.1
UNIVERSITAS TADULAKO,TEKNIK INFORMATIKA,50,514,9.73
UNIVERSITAS TADULAKO,MANAJEMEN (PSDKU TOUNA),100,11,100.0
UNIVERSITAS TADULAKO,AGROTEKNOLOGI (PSDKU MOROWALI),24,2,100.0
UNIVERSITAS TADULAKO,AGROTEKNOLOGI (PSDKU TOUNA),50,7,100.0
UNIVERSITAS TADULAKO,ILMU PEMERINTAHAN,108,494,21.86
UNIVERSITAS TADULAKO,TEKNIK MESIN,50,81,61.73
UNIVERSITAS TADULAKO,"PEND. JASMANI, KESEHATAN DAN REKREASI",100,95,100.0
UNIVERSITAS TADULAKO,TEKNIK ELEKTRO,50,133,37.59
UNIVERSITAS TADULAKO,FISIKA,25,21,100.0
UNIVERSITAS TADULAKO,BIOLOGI,25,47,53.19
UNIVERSITAS TADULAKO,STATISTIKA,25,105,23.81
UNIVERSITAS TADULAKO,TEKNIK GEO FISIKA,25,22,100.0
UNIVERSITAS TADULAKO,SISTEM INFORMASI,25,74,33.78
UNIVERSITAS TADULAKO,MATEMATIKA,25,47,53.19
UNIVERSITAS TADULAKO,FARMASI,50,455,10.99
UNIVERSITAS TADULAKO,ILMU HUKUM,325,567,57.32
UNIVERSITAS TADULAKO,GIZI,48,251,19.12
UNIVERSITAS TADULAKO,MANAJEMEN (PSDKU MOROWALI),48,15,100.0
UNIVERSITAS TADULAKO,TEKNIK SIPIL (PSDKU MOROWALI),24,12,100.0
UNIVERSITAS TADULAKO,SOSIOLOGI,104,151,68.87
UNIVERSITAS TADULAKO,ANTROPOLOGI,77,70,100.0
UNIVERSITAS TADULAKO,TEKNIK SIPIL,72,467,15.42
UNIVERSITAS TADULAKO,ADMINSTRASI NEGARA,108,456,23.68
UNIVERSITAS TADULAKO,PEND. BAHASA INGGRIS,113,349,32.38
UNIVERSITAS TADULAKO,PEND. FISIKA,65,27,100.0
UNIVERSITAS TADULAKO,EKONOMI PEMBANGUNAN,75,157,47.77
UNIVERSITAS TADULAKO,PEND. MATEMATIKA,65,122,53.28
UNIVERSITAS TADULAKO,EKONOMI MANAJEMEN,100,1016,9.84
UNIVERSITAS TADULAKO,PEND. BIOLOGI,65,115,56.52
UNIVERSITAS TADULAKO,BIMBINGAN DAN KONSELING,36,108,33.33
UNIVERSITAS TADULAKO,TEKNIK ARSITEKTUR,50,215,23.26
UNIVERSITAS TADULAKO,KEHUTANAN,270,161,100.0
UNIVERSITAS TADULAKO,PEND. GURU SEKOLAH DASAR,113,791,14.29
UNIVERSITAS TADULAKO,PEND. DOKTER,75,593,12.65
UNIVERSITAS TADULAKO,PEND. KIMIA,65,34,100.0
UNIVERSITAS SYIAH KUALA,MATEMATIKA,45,115,39.13
UNIVERSITAS SYIAH KUALA,KIMIA,45,129,34.88
UNIVERSITAS SYIAH KUALA,INFORMATIKA,45,919,4.9
UNIVERSITAS SYIAH KUALA,PENDIDIKAN KIMIA,45,112,40.18
UNIVERSITAS SYIAH KUALA,TEKNIK KOMPUTER,45,687,6.55
UNIVERSITAS SYIAH KUALA,BIOLOGI,45,139,32.37
UNIVERSITAS SYIAH KUALA,STATISTIKA,45,278,16.19
UNIVERSITAS SYIAH KUALA,PENDIDIKAN FISIKA,45,52,86.54
UNIVERSITAS SYIAH KUALA,PSIKOLOGI,45,507,8.88
UNIVERSITAS SYIAH KUALA,MANAJEMEN (PSDKU GAYO LUES),40,19,100.0
UNIVERSITAS SYIAH KUALA,PENDIDIKAN BAHASA INDONESIA,40,368,10.87
UNIVERSITAS SYIAH KUALA,FISIKA,45,41,100.0
UNIVERSITAS SYIAH KUALA,TEKNIK ELEKTRO,63,350,18.0
UNIVERSITAS SYIAH KUALA,BIMBINGAN KONSELING,45,415,10.84
UNIVERSITAS SYIAH KUALA,ILMU PEMERINTAHAN,63,308,20.45
UNIVERSITAS SYIAH KUALA,KEHUTANAN,36,122,29.51
UNIVERSITAS SYIAH KUALA,PROTEKSI TANAMAN,36,79,45.57
UNIVERSITAS SYIAH KUALA,TEKNIK GEOLOGI,36,77,46.75
UNIVERSITAS SYIAH KUALA,ILMU TANAH,36,104,34.62
UNIVERSITAS SYIAH KUALA,TEKNIK PERTAMBANGAN,36,288,12.5
UNIVERSITAS SYIAH KUALA,TEKNIK GEOFISIKA,36,76,47.37
UNIVERSITAS SYIAH KUALA,PETERNAKAN,63,170,37.06
UNIVERSITAS SYIAH KUALA,ARSITEKTUR,63,410,15.37
UNIVERSITAS SYIAH KUALA,ILMU KOMUNIKASI,63,635,9.92
UNIVERSITAS SYIAH KUALA,TEKNIK KIMIA,63,201,31.34
UNIVERSITAS SYIAH KUALA,ILMU POLITIK,63,233,27.04
UNIVERSITAS SYIAH KUALA,SOSIOLOGI,63,224,28.12
UNIVERSITAS SYIAH KUALA,TEKNIK MESIN,63,338,18.64
UNIVERSITAS SYIAH KUALA,ILMU KEPERAWATAN,72,765,9.41
UNIVERSITAS SYIAH KUALA,PENDIDIKAN KESEJAHTERAAN KELUARGA,45,505,8.91
UNIVERSITAS SYIAH KUALA,AKUNTANSI,72,847,8.5
UNIVERSITAS SYIAH KUALA,EKONOMI ISLAM,63,522,12.07
UNIVERSITAS SYIAH KUALA,EKONOMI PEMBANGUNAN,72,390,18.46
UNIVERSITAS SYIAH KUALA,PENDIDIKAN DOKTER,81,1656,4.89
UNIVERSITAS SYIAH KUALA,PEMANFAATAN SUMBERDAYA PERIKANAN,81,93,87.1
UNIVERSITAS SYIAH KUALA,ILMU KELAUTAN,81,152,53.29
